experiment,native_language,speech_version,speech_recording,site,p_n_unique,participant_n,trial_type,trial_number,block_cswl,condition_cswl,target_audio_cswl,target_visual,distractor_visual_1,distractor_visual_2,distractor_visual_3,key_pressed,is_correct,rt,chance_level,id_quest,age,gender,education,major,born_native,other_native,live_abroad,months_abroad,age_abroad,native_speaker,alternative_native_language,speak_foreign_language,foreign_1,level_1,age_acquisition_1,foreign_2,level_2,age_acquisition_2,foreign_3,level_3,age_acquisition_3,foreign_4,level_4,age_acquisition_4,normal_hearing,hearing_impairment,normal_vision,vision_impairment,stimuli_set_pp,block_pp
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,13,NA,NA,audio/p3.wav,img/03.jpg,img/01.jpg,img/05.jpg,img/06.jpg,1,1,1.477562794,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,14,NA,NA,audio/p2.wav,img/02.jpg,img/05.jpg,img/04.jpg,img/06.jpg,2,0,3.49210698,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,15,NA,NA,audio/p6.wav,img/06.jpg,img/01.jpg,img/02.jpg,img/03.jpg,2,1,2.021713076,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,16,NA,NA,audio/p1.wav,img/01.jpg,img/03.jpg,img/05.jpg,img/04.jpg,4,0,3.259569353,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,17,NA,NA,audio/pp5.wav,img/11.jpg,img/07.jpg,img/09.jpg,img/08.jpg,3,1,4.210038841,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,18,NA,NA,audio/pp4.wav,img/10.jpg,img/08.jpg,img/11.jpg,img/07.jpg,1,1,5.243853445,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,19,NA,NA,audio/pp3.wav,img/09.jpg,img/12.jpg,img/07.jpg,img/11.jpg,3,0,2.974708466,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,20,NA,NA,audio/p3.wav,img/03.jpg,img/02.jpg,img/05.jpg,img/01.jpg,3,1,1.435303804,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,21,NA,NA,audio/p5.wav,img/05.jpg,img/01.jpg,img/04.jpg,img/02.jpg,3,0,4.462685623,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,22,NA,NA,audio/p4.wav,img/04.jpg,img/02.jpg,img/06.jpg,img/01.jpg,4,0,4.940035169,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,23,NA,NA,audio/p6.wav,img/06.jpg,img/04.jpg,img/03.jpg,img/02.jpg,2,1,2.086101374,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,24,NA,NA,audio/pp3.wav,img/09.jpg,img/12.jpg,img/08.jpg,img/07.jpg,4,1,3.413957355,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,25,NA,NA,audio/pp2.wav,img/08.jpg,img/12.jpg,img/11.jpg,img/10.jpg,3,1,2.423219951,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,26,NA,NA,audio/p4.wav,img/04.jpg,img/01.jpg,img/06.jpg,img/05.jpg,4,0,6.31143761,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,self evaluation cswl,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5.777131509,NA,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,warm up cswl,NA,NA,NA,audio/bola.wav,img/bola.jpg,img/casa.jpg,img/pato.jpg,img/gato.jpg,1,0,4.568069404,NA,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,warm up cswl,NA,NA,NA,audio/pato.wav,img/pato.jpg,img/bola.jpg,img/gato.jpg,img/casa.jpg,4,1,3.80026409,NA,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,3,NA,NA,audio/pp5.wav,img/11.jpg,img/09.jpg,img/10.jpg,img/08.jpg,4,0,2.851247532,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,4,NA,NA,audio/p1.wav,img/01.jpg,img/05.jpg,img/06.jpg,img/03.jpg,4,1,2.40092302,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,5,NA,NA,audio/p2.wav,img/02.jpg,img/03.jpg,img/04.jpg,img/05.jpg,2,0,2.134190487,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,6,NA,NA,audio/p4.wav,img/04.jpg,img/02.jpg,img/06.jpg,img/01.jpg,3,0,3.450967556,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,7,NA,NA,audio/pp2.wav,img/08.jpg,img/10.jpg,img/09.jpg,img/11.jpg,1,0,3.96784869,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,8,NA,NA,audio/pp3.wav,img/09.jpg,img/12.jpg,img/07.jpg,img/11.jpg,2,1,2.584176743,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,9,NA,NA,audio/p1.wav,img/01.jpg,img/03.jpg,img/05.jpg,img/04.jpg,1,1,2.884377912,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,10,NA,NA,audio/pp6.wav,img/12.jpg,img/07.jpg,img/10.jpg,img/08.jpg,1,1,1.500859475,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,11,NA,NA,audio/p5.wav,img/05.jpg,img/02.jpg,img/03.jpg,img/04.jpg,2,1,3.767672778,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,12,NA,NA,audio/pp2.wav,img/08.jpg,img/12.jpg,img/11.jpg,img/10.jpg,1,0,1.301116871,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,13,NA,NA,audio/pp6.wav,img/12.jpg,img/09.jpg,img/10.jpg,img/08.jpg,4,1,3.050914274,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,14,NA,NA,audio/p6.wav,img/06.jpg,img/04.jpg,img/03.jpg,img/02.jpg,2,1,2.850932927,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,15,NA,NA,audio/pp3.wav,img/09.jpg,img/12.jpg,img/08.jpg,img/07.jpg,4,1,1.300829487,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,16,NA,NA,audio/p3.wav,img/03.jpg,img/02.jpg,img/05.jpg,img/01.jpg,2,0,2.517110952,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,17,NA,NA,audio/pp1.wav,img/07.jpg,img/10.jpg,img/12.jpg,img/09.jpg,2,1,2.417711781,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,18,NA,NA,audio/p4.wav,img/04.jpg,img/01.jpg,img/06.jpg,img/05.jpg,3,0,3.517670993,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,19,NA,NA,audio/pp4.wav,img/10.jpg,img/11.jpg,img/12.jpg,img/07.jpg,4,0,3.08362875,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,20,NA,NA,audio/pp1.wav,img/07.jpg,img/11.jpg,img/12.jpg,img/09.jpg,3,0,1.767602717,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,21,NA,NA,audio/p5.wav,img/05.jpg,img/01.jpg,img/04.jpg,img/02.jpg,3,0,5.601422015,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,22,NA,NA,audio/pp4.wav,img/10.jpg,img/08.jpg,img/11.jpg,img/07.jpg,2,0,4.800986566,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,23,NA,NA,audio/p3.wav,img/03.jpg,img/01.jpg,img/05.jpg,img/06.jpg,3,0,4.901561156,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,24,NA,NA,audio/p6.wav,img/06.jpg,img/01.jpg,img/02.jpg,img/03.jpg,4,0,3.400897584,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,25,NA,NA,audio/pp5.wav,img/11.jpg,img/07.jpg,img/09.jpg,img/08.jpg,3,1,2.784534277,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,test cswl,26,NA,NA,audio/p2.wav,img/02.jpg,img/05.jpg,img/04.jpg,img/06.jpg,3,1,4.65134294,0.25,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,259,2,self evaluation cswl,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5.217543902,NA,215,17,female,undergraduate,special education,yes,NA,no,NA,NA,yes,NA,yes,Spanish,4,11,English,3,10,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,warm up cswl,NA,NA,NA,audio/bola.wav,img/bola.jpg,img/casa.jpg,img/pato.jpg,img/gato.jpg,2,1,4.533998333,NA,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,warm up cswl,NA,NA,NA,audio/pato.wav,img/pato.jpg,img/bola.jpg,img/gato.jpg,img/casa.jpg,4,1,2.367541403,NA,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,3,NA,NA,audio/p3.wav,img/03.jpg,img/01.jpg,img/05.jpg,img/06.jpg,1,1,3.734272865,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,4,NA,NA,audio/pp4.wav,img/10.jpg,img/08.jpg,img/11.jpg,img/07.jpg,1,1,1.900902939,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,5,NA,NA,audio/p2.wav,img/02.jpg,img/03.jpg,img/04.jpg,img/05.jpg,3,1,3.251168725,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,6,NA,NA,audio/p2.wav,img/02.jpg,img/05.jpg,img/04.jpg,img/06.jpg,3,1,3.401122493,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,7,NA,NA,audio/pp6.wav,img/12.jpg,img/07.jpg,img/10.jpg,img/08.jpg,1,1,4.901381764,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,8,NA,NA,audio/p4.wav,img/04.jpg,img/02.jpg,img/06.jpg,img/01.jpg,1,1,4.251206656,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,9,NA,NA,audio/pp1.wav,img/07.jpg,img/11.jpg,img/12.jpg,img/09.jpg,4,1,4.001197285,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,10,NA,NA,audio/p6.wav,img/06.jpg,img/04.jpg,img/03.jpg,img/02.jpg,2,1,1.817423236,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,11,NA,NA,audio/p4.wav,img/04.jpg,img/01.jpg,img/06.jpg,img/05.jpg,2,1,3.034553466,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,12,NA,NA,audio/p1.wav,img/01.jpg,img/05.jpg,img/06.jpg,img/03.jpg,4,1,1.584281165,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,13,NA,NA,audio/pp5.wav,img/11.jpg,img/09.jpg,img/10.jpg,img/08.jpg,2,1,2.434351048,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,14,NA,NA,audio/pp2.wav,img/08.jpg,img/10.jpg,img/09.jpg,img/11.jpg,3,1,4.784674399,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,15,NA,NA,audio/pp5.wav,img/11.jpg,img/07.jpg,img/09.jpg,img/08.jpg,3,1,3.851106518,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,16,NA,NA,audio/pp6.wav,img/12.jpg,img/09.jpg,img/10.jpg,img/08.jpg,4,1,2.083962097,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,260,3,test cswl,17,NA,NA,audio/p5.wav,img/05.jpg,img/01.jpg,img/04.jpg,img/02.jpg,4,1,6.618698971,0.25,216,32,female,graduate,biology,yes,NA,yes,5,32,yes,NA,yes,English,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
